state,value
Alabama,0.10
Alaska,0.04
Arizona,0.06
Arkansas,0.20
California,0.09
Colorado,0.11
Connecticut,0.04
Delaware,0.05
District of Columbia,0.02
Florida,0.00
Georgia,0.05
Hawaii,0.01
Idaho,0.17
Illinois,0.15
Indiana,0.06
Iowa,0.04
Kansas,0.07
Kentucky,0.08
Louisiana,0.03
Maine,0.11
Maryland,0.03
Massachusetts,0.15
Michigan,0.15
Minnesota,0.18
Mississippi,0.07
Missouri,0.43
Montana,0.29
Nebraska,0.26
Nevada,0.04
New Hampshire,0.07
New Jersey,0.20
New Mexico,0.11
New York,0.12
North Carolina,0.01
North Dakota,0.24
Ohio,0.04
Oklahoma,0.09
Oregon,0.12
Pennsylvania,0.08
Rhode Island,0.13
South Carolina,0.10
South Dakota,0.07
Tennessee,0.08
Texas,0.02
Utah,0.14
Vermont,0.18
Virginia,0.02
Washington,0.11
West Virginia,0.17
Wisconsin,0.08
Wyoming,0.11
